English,Português
ago,atrás
information,em formação
nothing,nenhuma coisa
community,comunidade
best,melhor
right,direita
idea,idéia
lead,liderar
body,corpo
learn,aprender
kid,miúdo
minute,minuto
table,tabela
whether,se
understand,Compreendo
team,equipe
back,costas
watch,ver
together,juntos
follow,Segue
around,por aí
only,só
stop,Pare
face,rosto
anything,nada
public,público
social,social
already,já
parent,pai
speak,falar
create,crio
office,escritório
allow,permitir
level,nível
read,ler
spend,gasta
person,pessoa
door,porta
sure,certo
add,adicionar
street,rua
such,tal
history,história
party,Festa
grow,crescer
reason,razão
morning,manhã
open,abrir
within,dentro de
change,mudança
although,Apesar
walk,caminhar
news,notícia
health,saúde
court,quadra
force,força
early,cedo
himself,ele mesmo
air,ar
low,baixo
before,antes
art,arte
result,resultado
moment,momento
offer,oferta
both,Ambas
remember,lembrar
research,pesquisar
enough,o suficiente
girl,garota
boy,Garoto
win,ganhar
food,Comida
across,através
guy,cara
second,segundo
able,capaz
toward,em direção a
maybe,pode ser
process,processar
off,desligado
everything,tudo
appear,aparecer
age,idade
policy,política
consider,considerar
including,Incluindo
probably,provavelmente
education,Educação
love,amor
actually,na realidade
buy,Comprar
wait,esperar
die,morrer
human,humano
send,enviar
fee,taxa
expect,esperar
serve,servir
sense,senso
teacher,professor
home,casa
market,mercado
stay,fique
build,construir
nation,nação
fall,cair
oh,oh
death,morte
plan,plano
interest,interesse
someone,alguém
experience,experiência
cut,cortar
kill,matar
behind,atrás
reach,alcançar
six,seis
local,local
remain,permanecer
effect,efeito
suggest,sugerir
use,usar
control,ao controle
perhaps,possivelmente
raise,levantar
class,aula
late,atrasado
little,pequeno
major,maior
yeah,sim
else,outro
pass,passar
photo,foto
sell,vender
themselves,si mesmos
field,campo
college,faculdade
sometimes,as vezes
former,antigo
development,desenvolvimento
require,exigir
along,ao longo
decide,decidir
security,segurança
up,acima
possible,possível
effort,esforço
role,Função
better,melhorar
rate,avaliar
strong,Forte
music,música
report,relatório
leader,líder
light,leve
whole,todo
voice,voz
color,cor
heart,coração
care,Cuidado
police,polícia
economic,econômico
wife,esposa
show,mostrar
mind,mente
report,relatório
finally,finalmente
drug,medicamento
less,menos
return,Retorna
according,de acordo com
pull,puxar
decision,decisão
explain,explique
carry,carregar
develop,desenvolve
view,visualizar
free,gratuitamente
hope,esperança
even,até
drive,dirigir
son,filho
arm,braço
department,departamento
TRUE,VERDADE
price,preço
military,militares
federal,Federal
break,pausa
action,ação
value,valor
thank,agradecer
relationship,relação
town,Cidade
better,melhorar
building,construção
receive,receber
society,sociedade
difference,diferença
church,igreja
full,completo
join,Junte-se
road,estrada
because,Porque
international,internacional
model,modelo
position,posição
tax,imposto
director,diretor
early,cedo
agree,concordar
matter,matéria
especially,especialmente
form,Formato
record,registro
special,especial
ground,chão
whose,cujo
hard,duro
pick,escolha
paper,papel
official,oficial
season,temporada
wear,vestir
event,evento
support,"Apoio, suporte"
space,espaço
player,jogador
everyone,todo o mundo
couple,casal
end,fim
base,base
project,projeto
produce,produzir
site,local
situation,situação
hit,bater
industry,indústria
half,metade
activity,atividade
American,americano
eat,comer
itself,em si
need,necessidade
figure,figura
cost,custo
easy,fácil
quite,bastante
face,rosto
picture,foto
clear,Claro
cover,cobrir
describe,descrever
image,imagem
teach,Ensinar
wall,muro
doctor,falsificar
recent,recente
product,produtos
data,dados
practice,prática
phone,telefone
piece,peça
certain,certo
either,qualquer
oil,óleo
simply,simplesmente
test,teste
personal,pessoal
star,Estrela
land,terra
third,terceiro
general,em geral
computer,computador
movie,filme
worker,trabalhador
open,abrir
catch,apanhar
type,modelo
support,"Apoio, suporte"
north,norte
love,amor
step,Passo
attention,atenção
technology,tecnologia
organization,organização
baby,bebê
source,fonte
draw,desenhar
cause,causa
tree,árvore
film,filme
choose,escolher
evidence,evidência
Republican,Republicano
difficult,difícil
century,século
nearly,aproximadamente
red,vermelho
look,olhar
point,apontar
window,janela
park,parque
period,período
culture,cultura
hair,cabelo
listen,ouço
chance,chance
less,menos
available,acessível
brother,irmão
summer,verão
realize,entender
private,privado
no,não
science,Ciência
letter,carta
congress,Congresso
condition,doença
short,baixo
likely,provável
opportunity,oportunidade
rule,regra
choice,escolha
single,solteiro
place,"Lugar, colocar"
patient,paciente
floor,piso
term,prazo
material,material
mile,milha
administration,administração
well,Nós vamos
course,curso
defense,defesa
plant,plantar
energy,energia
campaign,campanha
population,população
fire,incêndio
close,perto
daughter,filha
involve,envolver
husband,esposo
wrong,errado
certainly,certamente
increase,aumentar
future,futuro
south,sul
medical,médico
call,ligar
board,borda
anyone,alguém
deal,acordo
hospital,hospital
rest,descanso
seek,procurar
myself,Eu mesmo
county,município
fight,lutar
subject,sujeito
risk,risco
order,pedido
west,Oeste
economy,economia
quickly,rapidamente
throw,lançar
bed,cama
officer,Policial
represent,representar
soon,em breve
top,topo
fill,preencher
author,autor
past,passado
upon,sobre
goal,meta
behavior,comportamento
drop,solta
nature,natureza
agency,agência
plan,plano
recently,recentemente
second,segundo
store,armazenar
foreign,esqueceram
current,atual
performance,atuação
bank,banco
sound,som
push,Empurre
focus,foco
reduce,reduzir
note,Nota
before,antes
fine,multar
near,perto
than,que
movement,movimento
common,comum
other,outro
billion,bilhão
blood,sangue
page,página
concern,preocupação
poor,pobre
enter,digitar
share,compartilhado
each,cada
series,Series
usually,usualmente
natural,natural
hot,quente
race,corrida
language,língua
river,rio
dead,morto
act,Aja
significant,significativo
no,não
response,resposta
rise,levantar
decade,década
article,artigo
thus,portanto
seven,Sete
shoot,atirar
east,leste
animal,animal
away,longe
similar,semelhante
save,Salve 
factor,fator
central,central
occur,ocorrer
committee,Comitê
serious,sério
sport,esporte
lie,mentira
beyond,além
exactly,exatamente
despite,apesar de
happy,feliz
eight,oito
protect,proteger
list,Lista
size,Tamanho
quality,qualidade
pressure,pressão
accept,aceitar
ready,pronto
approach,abordagem
sign,placa
attack,ataque
individual,Individual
career,carreira
answer,responder
dog,cão
media,meios de comunicação
thought,pensamento
whatever,qualquer que seja
determine,determinar
television,televisão
meeting,encontro
scene,cena
success,sucesso
prepare,preparar
identify,identificar
press,pressione
particularly,particularmente
resource,recurso
amount,montante
argue,argumentar
recognize,reconhecer
treatment,tratamento
left,deixou
degree,grau
stock,estoque
indicate,indicar
growth,crescimento
simple,simples
ability,habilidade
dollar,dólar
union,União
disease,doença
everybody,todo o mundo
wonder,maravilha
election,eleição
loss,perda
box,caixa
deal,acordo
herself,ela própria
fund,fundo
miss,perdi
pretty,bonito
region,região
feeling,sentimento
lay,deitar
training,Treinamento
message,mensagem
arrive,chegar
standard,padrão
outside,fora
fail,falhou
trade,troca
staff,pessoal
benefit,beneficiar
character,personagem
army,exército
association,Associação
operation,Operação
present,presente
crime,crime
name,nome
cup,copo
island,ilha
analysis,análise
check,Verifica
answer,responder
photograph,fotografia
glass,copo
forward,frente
authority,autoridade
earth,terra
stage,etapa
one,1
act,Aja
sort,organizar
station,estação
clearly,claramente
little,pequeno
compare,comparar
indeed,na verdade
public,público
knowledge,conhecimento
state,Estado
blue,azul
example,exemplo
strategy,estratégia
mountain,montanha
guess,acho
sister,irmã
force,força
gun,arma de fogo
various,vários
laugh,riso
environment,meio Ambiente
design,Projeto
sun,Sol
lawyer,advogado
sex,sexo
rather,em vez
artist,artista
club,clube
prove,provar
section,seção
skill,habilidade
truth,verdade
set,definir
ok,OK
manager,Gerente
executive,executivo
district,distrito
claim,alegar
forget,esqueço
hang,pendurar
entire,inteira
leg,perna
enough,o suficiente
design,Projeto
close,perto
study,estudar
since,Desde a
environmental,de Meio Ambiente
establish,estabelecer
democratic,democrático
remove,remover
main,a Principal
professor,professor
financial,financeiro
enjoy,aproveitar
network,rede
sound,som
discuss,discutir
form,Formato
final,final
trial,tentativas
legal,jurídico
help,ajuda
cold,frio
above,acima
rock,Rocha
that,este
seat,assento
weapon,arma
song,música
expert,especialista
radio,rádio
nice,legais
avoid,evitar
memory,memória
management,gerenciamento
charge,cobrar
spring,primavera
card,cartão
maintain,manter
theory,teoria
care,Cuidado
visit,Visita
imagine,Imagine
finish,Finalizar
statement,declaração
firm,empresa
huge,imenso
respond,responder
popular,popular
hard,duro
physical,fisica
talk,conversa
traditional,tradicional
contain,conter
peace,Paz
green,verde
thanks,obrigado
control,ao controle
Democrat,Democrata
base,base
impact,impacto
structure,estrutura
tonight,essa noite
note,Nota
direction,direção
fly,mosca
onto,para
king,rei
reveal,revelar
cell,célula
religious,religioso
ball,bola
particular,especial
employee,funcionário
head,cabeça
suddenly,De repente
apply,Aplique
shake,sacudir
cultural,cultural
chair,cadeira
PM,PM
justice,justiça
discover,descobrir
measure,medir
politics,política
manage,gerir
treat,tratar
yourself,você mesmo
pain,dor
evening,noite
rather,em vez
unit,unidade
affect,afetar
play,Reproduzir
production,Produção
bit,mordeu
inside,dentro
far,longe
range,alcance
top,topo
worry,preocupação
perform,executar
necessary,necessário
conference,conferência
individual,Individual
candidate,candidato
museum,museu
specific,específico
best,melhor
throughout,ao longo
hall,corredor
past,passado
fish,peixe
trip,viagem
mention,menção
edge,Beira
trouble,problema
interview,entrevista
style,estilo
middle,meio
cause,causa
ten,dez
weight,peso
adult,adulto
dream,Sonhe
fear,medo
dark,Sombrio
sign,placa
method,método
somebody,alguém
magazine,revista
reflect,refletir
heavy,pesado
soldier,soldado
property,propriedade
beautiful,lindo
writer,escritor
stuff,rechear
camera,Câmera
improve,melhorar
shoulder,ombro
bar,bar
hotel,hotel
instead,em vez de
hill,colina
exist,existir
sea,mar
institution,instituição
purpose,propósito
pattern,padronizar
detail,detalhe
machine,máquina
challenge,desafio
owner,proprietário
agent,agente
tough,difícil
ahead,à frente
generation,geração
commercial,comercial
whom,o qual
fall,cair
down,baixa
surface,superfície
budget,orçamento
senator,senador
bag,bolsa
reality,realidade
editor,editor
tend,tratar
address,Morada
civil,Civil
step,Passo
discussion,discussão
test,teste
mom,mãe
violence,violência
total,total
skin,pele
heat,aquecer
council,conselho
notice,perceber
beat,bater
nor,nem
modern,moderno
vote,voto
sing,cantar
cancer,Câncer
finger,dedo
lake,lago
wish,desejar
marriage,casado
victim,vítima
task,tarefa
yard,Jardim
kitchen,cozinha
item,item
responsibility,responsabilidade
mouth,boca
agreement,acordo
attorney,advogado
capital,capital
threat,ameaça
smile,sorriso
gas,gás
instead,em vez de
positive,positivo
track,acompanhar
investment,investimento
account,conta
break,pausa
rich,rico
citizen,cidadão
audience,público
lady,senhora
dinner,jantar
western,ocidental
debate,debate
consumer,consumidor
majority,maioria
interesting,interessante
prevent,evita
travel,viajar por
born,nascermos
relate,relacionar
assume,presumir
none,Nenhum
admit,Admitem
front,frente
figure,figura
coach,treinador
partner,parceiro
shot,tomada
scientist,cientista
senior,Senior
suffer,Sofra
alone,sozinho
collection,coleção
successful,bem sucedido
speech,discurso
eventually,eventualmente
key,chave
mission,missão
score,pontuação
newspaper,jornal
wind,vento
reform,reforma
concerned,preocupado
professional,profissional
relation,relação
troops,tropas
garden,jardim
access,Acesso
publish,publicar
recall,lembrar
Soviet,Soviético
cost,custo
southern,sulista
senate,senado
opinion,opinião
option,opção
judge,juiz
original,original
customer,cliente
critical,crítico
corner,canto
basic,básico
income,renda
directly,diretamente
own,ter
release,lançamento
restaurant,restaurante
neighborhood,vizinhança
effective,eficaz
labor,trabalho
nobody,ninguém
stare,olhar fixamente
immediately,imediatamente
achieve,alcançar
forest,floresta
dad,Papai
hurt,ferir
video,vídeo
strike,greve
safety,segurança
absolutely,absolutamente
therefore,portanto
freedom,liberdade
version,versão
like,gosta
plane,avião
attitude,atitude
sexual,sexual
refer,referir
fresh,fresco
involved,envolvido
powerful,poderoso
bird,pássaro
touch,toque
variety,variedade
deep,profundo
text,texto
wide,largo
credit,crédito
nine,nove
sleep,dorme
investigation,investigação
hope,esperança
announce,anunciar
by,por
completely,completamente
vote,voto
conduct,conduta
conflict,conflito
replace,substituir
attend,comparecer
participant,participante
argument,argumento
object,objeto
please,por favor
nuclear,nuclear
sky,céu
along,ao longo
afternoon,tarde
hundred,centenas
encourage,encorajar
perfect,perfeito
possibility,possibilidade
turn,virar
British,Britânico
once,uma vez
examine,examinar
conversation,conversação
generally,geralmente
beginning,começo
secretary,secretário
experience,experiência
beach,de praia
safe,seguro
spirit,espírito
weekend,fim de semana
date,encontro
define,definir
feature,funcionalidade
global,global
very,muito
element,elemento
attempt,tentar
slowly,devagar
governor,governador
through,Através dos
concept,conceito
sorry,desculpe
easily,facilmente
battle,batalha
league,liga
camp,acampamento
introduce,introduzir
status,status
insurance,seguro
complete,completo
stick,bastão
solution,solução
web,rede
vision,visão
stone,pedra
lack,falta
driver,condutor
normal,normal
truck,caminhão
minister,ministro
handle,lidar
hole,orifício
front,frente
fan,ventilador
spot,local
crisis,crise
supposed,suposto
refuse,recusar
drink,beber
researcher,investigador
tradition,tradição
communication,comunicação
distance,distância
ship,navio
gain,ganho
express,expressar
independent,independente
ice,gelo
scale,escala
brain,cérebro
winter,inverno
commission,comissão
wood,madeira
increase,aumentar
return,Retorna
division,divisão
species,espécies
AM,SOU
roll,lista
hide,ocultar
middle,meio
client,cliente
resident,residente
contract,contrato
gold,ouro
future,futuro
potential,potencial
presence,presença
institute,instituto
screen,tela
run,corre
Chinese,chinês
horse,cavalo
European,europeu
target,alvo
willing,disposto
survey,enquete
interested,interessado
chief,chefe
crowd,multidão
prison,prisão
terms,termos
obviously,obviamente
basis,base
apartment,apartamento
farm,Fazenda
flight,voar
shape,forma
demand,exigem
strength,força
village,Vila
operate,operar
reporter,repórter
share,compartilhado
guard,guarda
observe,observar
deliver,entregar
count,contar
inside,dentro
advantage,vantagem
wild,selvagem
previous,anterior
average,média
emerge,emerge
contribute,contribuir
leadership,Liderança
boat,barco
facility,instalação
present,presente
earn,ganhar
highly,altamente
vehicle,veículo
pound,libra
tiny,muito pequeno
understanding,compreensão
settle,resolver
unless,a menos que
tomorrow,amanhã
foundation,Fundação
quick,rápido
block,bloquear
light,leve
reader,leitor
collect,coletar
guest,hóspede
living,vivo
tool,ferramenta
protection,proteção
fair,feira
additional,adicional
promote,promover
equipment,equipamento
mostly,majoritariamente
order,pedido
painting,quadro
feed,alimentar
principle,princípio
bowl,tigela
claim,alegar
technique,técnica
limit,limite
identity,identidade
title,título
critic,crítico
survive,sobreviver
cry,chore
border,fronteira
lift,levantar
path,caminho
aspect,aspecto
marry,casar
shop,fazer compras
failure,falha
ride,passeio
responsible,responsável
gather,reunir
jump,saltar
sample,amostra
affair,caso
result,resultado
worth,que vale a pena
fit,ajuste
chairman,presidente
until,até
lesson,lição
Christmas,Natal
insist,insistir
anybody,qualquer pessoa
folk,folk
band,banda
ear,orelha
procedure,procedimento
associate,associado
inch,polegada
warm,caloroso
African,africano
French,Francês
baseball,beisebol
demonstrate,demonstrar
foot,pé
Christian,cristão
approach,abordagem
competition,concorrência
measure,medir
afraid,com medo
spread,espalhar
ignore,ignorar
soft,suave
annual,anual
wonderful,Maravilhoso
threaten,ameaçar
commit,comprometer-se
deny,negar
intelligence,inteligência
regular,regular
influence,influência
general,em geral
past,passado
reaction,reação
cross,Cruz
master,mestre
suit,Traje
blow,golpe
destroy,destruir
gift,Presente
coffee,café
anyway,qualquer maneira
belief,crença
comment,Comente
apparently,pelo visto
twice,em dobro
background,fundo
quarter,trimestre
review,Reveja
faith,fé
move,mover
speed,Rapidez
engage,envolver
broad,largo
perspective,perspectiva
slightly,um pouco
growing,crescente
view,visualizar
function,função
construction,construção
egg,ovo
charge,cobrar
wave,aceno
female,fêmea
murder,assassinato
tape,fita
burn,queimar
means,meios
aware,consciente
mistake,erro
quiet,tranquilo
connection,conexão
shoe,sapato
clothes,roupas
promise,promessa
religion,religião
complete,completo
united,Unidos
context,contexto
active,ativo
focus,foco
youth,juventude
location,localização
neighbor,vizinho
dress,vestir
Internet,Internet
category,categoria
dangerous,perigoso
extend,ampliar
combine,combinar
demand,exigem
coast,costa
relatively,relativamente
smile,sorriso
bus,autocarro
hey,Ei
chief,chefe
following,Segue
depend,depender
key,chave
hell,inferno
visit,Visita
bone,osso
cook,cozinheiro
fire,incêndio
direct,direto
native,nativo
cool,frio
cut,cortar
remind,lembrar
historical,histórico
moral,moral
voter,eleitor
appropriate,apropriado
famous,famoso
hire,contratar
